기준월,권역ID,권역코드,권역명,월예측수요량,월안전재고량,월목표재고량,평균리드타임(시간),수량단위,데이터구분
2025-04,Busan,Zone7,부산울산경남권,62162.449,7322.736,69485.185,3.85,완제품 처방수요 상당 단위,Option C 보정반영
2025-04,Jeju,Zone8,제주권,6407.994,1624.426,8032.42,30,완제품 처방수요 상당 단위,Option C 보정반영
2025-05,Seoul,Zone1,서울권,122346.553,17728.016,140074.569,1.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-05,Gyeonggi,Zone2,경기인천수도권,154423.662,18963.226,173386.888,1.36,완제품 처방수요 상당 단위,Option C 보정반영
2025-05,Gangwon,Zone3,강원권,7854.949,860.902,8715.851,1.86,완제품 처방수요 상당 단위,Option C 보정반영
2025-05,Chungcheong,Zone4,대전세종충청권,35397.476,5348.559,40746.035,0.98,완제품 처방수요 상당 단위,Option C 보정반영
2025-05,Honam,Zone5,광주전북전남권,39516.231,4777.512,44293.743,2.91,완제품 처방수요 상당 단위,Option C 보정반영
2025-05,Daegu,Zone6,대구경북권,20445.592,3950.088,24395.68,2.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-05,Busan,Zone7,부산울산경남권,62562.279,7369.836,69932.115,3.85,완제품 처방수요 상당 단위,Option C 보정반영
2025-05,Jeju,Zone8,제주권,5790.721,1467.948,7258.669,30,완제품 처방수요 상당 단위,Option C 보정반영
2025-06,Seoul,Zone1,서울권,123986.028,17965.575,141951.603,1.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-06,Gyeonggi,Zone2,경기인천수도권,153530.665,18853.566,172384.231,1.36,완제품 처방수요 상당 단위,Option C 보정반영
2025-06,Gangwon,Zone3,강원권,7807.79,855.734,8663.524,1.86,완제품 처방수요 상당 단위,Option C 보정반영
2025-06,Chungcheong,Zone4,대전세종충청권,35945.275,5431.331,41376.606,0.98,완제품 처방수요 상당 단위,Option C 보정반영
2025-06,Honam,Zone5,광주전북전남권,42258.091,5109.003,47367.094,2.91,완제품 처방수요 상당 단위,Option C 보정반영
2025-06,Daegu,Zone6,대구경북권,20796.392,4017.863,24814.255,2.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-06,Busan,Zone7,부산울산경남권,61715.304,7270.063,68985.367,3.85,완제품 처방수요 상당 단위,Option C 보정반영
2025-06,Jeju,Zone8,제주권,6685.009,1694.65,8379.659,30,완제품 처방수요 상당 단위,Option C 보정반영
2025-07,Seoul,Zone1,서울권,141242.548,20466.045,161708.593,1.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-07,Gyeonggi,Zone2,경기인천수도권,170597.837,20949.414,191547.251,1.36,완제품 처방수요 상당 단위,Option C 보정반영
2025-07,Gangwon,Zone3,강원권,8884.463,973.737,9858.2,1.86,완제품 처방수요 상당 단위,Option C 보정반영
2025-07,Chungcheong,Zone4,대전세종충청권,41286.575,6238.401,47524.976,0.98,완제품 처방수요 상당 단위,Option C 보정반영
2025-07,Honam,Zone5,광주전북전남권,48424.681,5854.544,54279.225,2.91,완제품 처방수요 상당 단위,Option C 보정반영
2025-07,Daegu,Zone6,대구경북권,24598.794,4752.487,29351.281,2.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-07,Busan,Zone7,부산울산경남권,72930.453,8591.207,81521.66,3.85,완제품 처방수요 상당 단위,Option C 보정반영
2025-07,Jeju,Zone8,제주권,8053.285,2041.508,10094.793,30,완제품 처방수요 상당 단위,Option C 보정반영
2025-08,Seoul,Zone1,서울권,129997.164,18836.589,148833.753,1.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-08,Gyeonggi,Zone2,경기인천수도권,164087.656,20149.964,184237.62,1.36,완제품 처방수요 상당 단위,Option C 보정반영
2025-08,Gangwon,Zone3,강원권,8742.868,958.218,9701.086,1.86,완제품 처방수요 상당 단위,Option C 보정반영
2025-08,Chungcheong,Zone4,대전세종충청권,38799.952,5862.673,44662.625,0.98,완제품 처방수요 상당 단위,Option C 보정반영
2025-08,Honam,Zone5,광주전북전남권,45768.057,5533.358,51301.415,2.91,완제품 처방수요 상당 단위,Option C 보정반영
2025-08,Daegu,Zone6,대구경북권,22609.687,4368.192,26977.879,2.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-08,Busan,Zone7,부산울산경남권,68381.582,8055.35,76436.932,3.85,완제품 처방수요 상당 단위,Option C 보정반영
2025-08,Jeju,Zone8,제주권,7104.89,1801.09,8905.98,30,완제품 처방수요 상당 단위,Option C 보정반영
2025-09,Seoul,Zone1,서울권,126062.943,18266.52,144329.463,1.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-09,Gyeonggi,Zone2,경기인천수도권,158577.618,19473.331,178050.949,1.36,완제품 처방수요 상당 단위,Option C 보정반영
2025-09,Gangwon,Zone3,강원권,8758.243,959.903,9718.146,1.86,완제품 처방수요 상당 단위,Option C 보정반영
2025-09,Chungcheong,Zone4,대전세종충청권,38634.324,5837.646,44471.97,0.98,완제품 처방수요 상당 단위,Option C 보정반영
2025-09,Honam,Zone5,광주전북전남권,45142.875,5457.774,50600.649,2.91,완제품 처방수요 상당 단위,Option C 보정반영
2025-09,Daegu,Zone6,대구경북권,22705.791,4386.759,27092.55,2.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-09,Busan,Zone7,부산울산경남권,66384.855,7820.136,74204.991,3.85,완제품 처방수요 상당 단위,Option C 보정반영
2025-09,Jeju,Zone8,제주권,7555.949,1915.433,9471.382,30,완제품 처방수요 상당 단위,Option C 보정반영
2025-10,Seoul,Zone1,서울권,132186.558,19153.832,151340.39,1.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-10,Gyeonggi,Zone2,경기인천수도권,158706.384,19489.144,178195.528,1.36,완제품 처방수요 상당 단위,Option C 보정반영
2025-10,Gangwon,Zone3,강원권,7977.955,874.384,8852.339,1.86,완제품 처방수요 상당 단위,Option C 보정반영
2025-10,Chungcheong,Zone4,대전세종충청권,36174.761,5466.006,41640.767,0.98,완제품 처방수요 상당 단위,Option C 보정반영
2025-10,Honam,Zone5,광주전북전남권,42103.507,5090.314,47193.821,2.91,완제품 처방수요 상당 단위,Option C 보정반영
2025-10,Daegu,Zone6,대구경북권,19838.075,3832.716,23670.791,2.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-10,Busan,Zone7,부산울산경남권,64698.434,7621.476,72319.91,3.85,완제품 처방수요 상당 단위,Option C 보정반영
2025-10,Jeju,Zone8,제주권,7097.631,1799.249,8896.88,30,완제품 처방수요 상당 단위,Option C 보정반영
2025-11,Seoul,Zone1,서울권,126424.697,18318.939,144743.636,1.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-11,Gyeonggi,Zone2,경기인천수도권,162264.207,19926.045,182190.252,1.36,완제품 처방수요 상당 단위,Option C 보정반영
2025-11,Gangwon,Zone3,강원권,8075.64,885.09,8960.73,1.86,완제품 처방수요 상당 단위,Option C 보정반영
2025-11,Chungcheong,Zone4,대전세종충청권,38312.879,5789.076,44101.955,0.98,완제품 처방수요 상당 단위,Option C 보정반영
2025-11,Honam,Zone5,광주전북전남권,41374.873,5002.222,46377.095,2.91,완제품 처방수요 상당 단위,Option C 보정반영
2025-11,Daegu,Zone6,대구경북권,20127.605,3888.653,24016.258,2.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-11,Busan,Zone7,부산울산경남권,64750.813,7627.646,72378.459,3.85,완제품 처방수요 상당 단위,Option C 보정반영
2025-11,Jeju,Zone8,제주권,6957.369,1763.693,8721.062,30,완제품 처방수요 상당 단위,Option C 보정반영
2025-12,Seoul,Zone1,서울권,126571.727,18340.243,144911.97,1.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-12,Gyeonggi,Zone2,경기인천수도권,155960.324,19151.928,175112.252,1.36,완제품 처방수요 상당 단위,Option C 보정반영
2025-12,Gangwon,Zone3,강원권,7887.547,864.475,8752.022,1.86,완제품 처방수요 상당 단위,Option C 보정반영
2025-12,Chungcheong,Zone4,대전세종충청권,37604.924,5682.104,43287.028,0.98,완제품 처방수요 상당 단위,Option C 보정반영
2025-12,Honam,Zone5,광주전북전남권,38949.083,4708.944,43658.027,2.91,완제품 처방수요 상당 단위,Option C 보정반영
2025-12,Daegu,Zone6,대구경북권,19279.372,3724.775,23004.147,2.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-12,Busan,Zone7,부산울산경남권,63994.094,7538.504,71532.598,3.85,완제품 처방수요 상당 단위,Option C 보정반영
2025-12,Jeju,Zone8,제주권,7010.621,1777.192,8787.813,30,완제품 처방수요 상당 단위,Option C 보정반영
